Cifras de población resultantes de la Revisión del Padrón municipal a 1 de enero de 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
CPRO,PROVINCIA,CMUN,NOMBRE,POB23,HOMBRES,MUJERES
2,Albacete,1,Abengibre,760,369,391
2,Albacete,2,Alatoz,491,268,223
2,Albacete,3,Albacete,173206,84585,88621
2,Albacete,4,Albatana,655,332,323
2,Albacete,5,Alborea,666,350,316
2,Albacete,6,Alcadozo,648,355,293
2,Albacete,7,Alcalá del Júcar,1129,604,525
2,Albacete,8,Alcaraz,1304,678,626
2,Albacete,9,Almansa,24282,12044,12238
2,Albacete,10,Alpera,2268,1186,1082
2,Albacete,11,Ayna,601,334,267
2,Albacete,12,Balazote,2408,1236,1172
2,Albacete,14,"Ballestero, El",414,217,197
2,Albacete,13,Balsa de Ves,134,78,56
2,Albacete,15,Barrax,1849,955,894
2,Albacete,16,Bienservida,567,309,258
2,Albacete,17,Bogarra,740,391,349
2,Albacete,18,Bonete,980,518,462
2,Albacete,19,"Bonillo, El",2651,1349,1302
2,Albacete,20,Carcelén,481,249,232
2,Albacete,21,Casas de Juan Núñez,1349,729,620
2,Albacete,22,Casas de Lázaro,324,186,138
2,Albacete,23,Casas de Ves,556,295,261
2,Albacete,24,Casas-Ibáñez,4581,2314,2267
2,Albacete,25,Caudete,10146,5188,4958
2,Albacete,26,Cenizate,1143,577,566
2,Albacete,29,Chinchilla de Monte-Aragón,4565,2363,2202
2,Albacete,27,Corral-Rubio,302,159,143
2,Albacete,28,Cotillas,131,74,57
2,Albacete,30,Elche de la Sierra,3576,1751,1825
2,Albacete,31,Férez,617,309,308
2,Albacete,32,Fuensanta,289,157,132
2,Albacete,33,Fuente-Álamo,2431,1278,1153
2,Albacete,34,Fuentealbilla,1827,951,876
2,Albacete,35,"Gineta, La",2611,1356,1255
2,Albacete,36,Golosalvo,92,50,42
2,Albacete,37,Hellín,30516,15344,15172
2,Albacete,38,"Herrera, La",307,161,146
2,Albacete,39,Higueruela,1147,600,547
2,Albacete,40,Hoya-Gonzalo,614,323,291
2,Albacete,41,Jorquera,346,188,158
2,Albacete,42,Letur,929,466,463
2,Albacete,43,Lezuza,1291,674,617
2,Albacete,44,Liétor,1080,562,518
2,Albacete,45,Madrigueras,4675,2386,2289
2,Albacete,46,Mahora,1491,771,720
2,Albacete,47,Masegoso,139,79,60
2,Albacete,48,Minaya,1435,724,711
2,Albacete,49,Molinicos,824,425,399
2,Albacete,50,Montalvos,89,52,37
2,Albacete,51,Montealegre del Castillo,2040,1065,975
2,Albacete,52,Motilleja,661,362,299
2,Albacete,53,Munera,3409,1764,1645
2,Albacete,54,Navas de Jorquera,520,273,247
2,Albacete,55,Nerpio,1174,659,515
2,Albacete,56,Ontur,1913,959,954
2,Albacete,57,Ossa de Montiel,2209,1135,1074
2,Albacete,58,Paterna del Madera,351,193,158
2,Albacete,60,Peñas de San Pedro,1447,853,594
2,Albacete,59,Peñascosa,329,191,138
2,Albacete,61,Pétrola,669,351,318
2,Albacete,62,Povedilla,393,213,180
2,Albacete,901,Pozo Cañada,2703,1374,1329
2,Albacete,63,Pozohondo,1551,813,738
2,Albacete,64,Pozo-Lorente,392,200,192
2,Albacete,65,Pozuelo,470,255,215
2,Albacete,66,"Recueja, La",221,122,99
2,Albacete,67,Riópar,1326,673,653
2,Albacete,68,Robledo,394,215,179
2,Albacete,69,"Roda, La",15542,7821,7721
2,Albacete,70,Salobre,435,232,203
2,Albacete,71,San Pedro,1191,612,579
2,Albacete,72,Socovos,1705,883,822
2,Albacete,73,Tarazona de la Mancha,6138,3168,2970
2,Albacete,74,Tobarra,7824,4053,3771
2,Albacete,75,Valdeganga,1950,998,952
2,Albacete,76,Vianos,322,166,156
2,Albacete,77,Villa de Ves,61,34,27
2,Albacete,78,Villalgordo del Júcar,1086,570,516
2,Albacete,79,Villamalea,3929,2011,1918
2,Albacete,80,Villapalacios,553,291,262
2,Albacete,81,Villarrobledo,25189,12450,12739
2,Albacete,82,Villatoya,114,67,47
2,Albacete,83,Villavaliente,209,127,82
2,Albacete,84,Villaverde de Guadalimar,311,171,140
2,Albacete,85,Viveros,308,161,147
2,Albacete,86,Yeste,2478,1292,1186
3,Alicante/Alacant,2,Agost,5067,2566,2501
3,Alicante/Alacant,3,Agres,619,338,281
3,Alicante/Alacant,4,Aigües,1146,566,580
3,Alicante/Alacant,14,Alacant/Alicante,349282,168377,180905
3,Alicante/Alacant,5,Albatera,13092,6682,6410
3,Alicante/Alacant,6,Alcalalí,1397,701,696
3,Alicante/Alacant,9,Alcoi/Alcoy,59493,29124,30369
3,Alicante/Alacant,8,Alcoleja,188,100,88
3,Alicante/Alacant,7,Alcosser,259,130,129
3,Alicante/Alacant,10,Alfafara,419,196,223
