Cifras de población resultantes de la Revisión del Padrón municipal a 1 de enero de 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
CPRO,PROVINCIA,CMUN,NOMBRE,POB24,HOMBRES,MUJERES
1,Araba/Ąlava,1,AlegrĪa-Dulantzi,2971,1531,1440
1,Araba/Ąlava,2,Amurrio,10330,5149,5181
1,Araba/Ąlava,3,Aramaio,1381,709,672
1,Araba/Ąlava,4,Artziniega,1856,913,943
1,Araba/Ąlava,6,Armiżón,247,127,120
1,Araba/Ąlava,8,Arratzua-Ubarrundia,1047,552,495
1,Araba/Ąlava,9,Asparrena,1611,813,798
1,Araba/Ąlava,10,Ayala/Aiara,2942,1491,1451
1,Araba/Ąlava,11,Bażos de Ebro/Mażueta,291,168,123
1,Araba/Ąlava,13,Barrundia,879,490,389
1,Araba/Ąlava,14,Berantevilla,459,238,221
1,Araba/Ąlava,16,Bernedo,546,318,228
1,Araba/Ąlava,17,Campezo/Kanpezu,1085,574,511
1,Araba/Ąlava,18,Zigoitia,1844,990,854
1,Araba/Ąlava,19,Kripan,178,90,88
1,Araba/Ąlava,20,Kuartango,408,229,179
1,Araba/Ąlava,21,Elburgo/Burgelu,642,334,308
1,Araba/Ąlava,22,Elciego,955,478,477
1,Araba/Ąlava,23,Elvillar/Bilar,319,152,167
1,Araba/Ąlava,27,Iruraiz-Gauna,553,298,255
1,Araba/Ąlava,28,Labastida/Bastida,1565,800,765
1,Araba/Ąlava,30,LagrĀn,170,96,74
1,Araba/Ąlava,31,Laguardia,1478,790,688
1,Araba/Ąlava,32,Lanciego/Lantziego,685,354,331
1,Araba/Ąlava,33,Lapuebla de Labarca,859,436,423
1,Araba/Ąlava,34,Leza,210,107,103
1,Araba/Ąlava,36,Laudio/Llodio,17982,8712,9270
1,Araba/Ąlava,37,Arraia-Maeztu,822,451,371
1,Araba/Ąlava,39,Moreda de Ąlava/Moreda Araba,215,114,101
1,Araba/Ąlava,41,Navaridas,191,106,85
1,Araba/Ąlava,42,Okondo,1194,630,564
1,Araba/Ąlava,43,Oyón-Oion,3413,1724,1689
1,Araba/Ąlava,44,Peżacerrada-Urizaharra,302,181,121
1,Araba/Ąlava,46,Erriberagoitia/Ribera Alta,845,504,341
1,Araba/Ąlava,47,Ribera Baja/Erriberabeitia,1439,767,672
1,Araba/Ąlava,49,Ażana,142,86,56
1,Araba/Ąlava,51,Agurain/Salvatierra,5155,2601,2554
1,Araba/Ąlava,52,Samaniego,290,144,146
1,Araba/Ąlava,53,San MillĀn/Donemiliaga,720,388,332
1,Araba/Ąlava,54,Urkabustaiz,1462,761,701
1,Araba/Ąlava,55,ValdegovĪa/Gaubea,1072,577,495
1,Araba/Ąlava,56,Harana/Valle de Arana,214,117,97
1,Araba/Ąlava,57,Villabuena de Ąlava/Eskuernaga,290,154,136
1,Araba/Ąlava,58,Legutio,2086,1078,1008
1,Araba/Ąlava,59,Vitoria-Gasteiz,257968,125412,132556
1,Araba/Ąlava,60,Yécora/Iekora,265,143,122
1,Araba/Ąlava,61,Zalduondo,194,105,89
1,Araba/Ąlava,62,Zambrana,442,242,200
1,Araba/Ąlava,63,Zuia,2372,1237,1135
1,Araba/Ąlava,901,Iruża Oka/Iruża de Oca,3625,1923,1702
1,Araba/Ąlava,902,Lantarón,926,531,395
2,Albacete,1,Abengibre,759,374,385
2,Albacete,2,Alatoz,497,267,230
2,Albacete,3,Albacete,174137,85115,89022
2,Albacete,4,Albatana,663,342,321
2,Albacete,5,Alborea,676,363,313
2,Albacete,6,Alcadozo,641,351,290
2,Albacete,7,AlcalĀ del JŻcar,1117,585,532
2,Albacete,8,Alcaraz,1304,676,628
2,Albacete,9,Almansa,24281,12041,12240
2,Albacete,10,Alpera,2260,1192,1068
2,Albacete,11,Ayna,608,337,271
2,Albacete,12,Balazote,2379,1210,1169
2,Albacete,13,Balsa de Ves,124,70,54
2,Albacete,14,"Ballestero, El",413,213,200
2,Albacete,15,Barrax,1864,968,896
2,Albacete,16,Bienservida,552,300,252
2,Albacete,17,Bogarra,748,401,347
2,Albacete,18,Bonete,970,506,464
2,Albacete,19,"Bonillo, El",2624,1342,1282
2,Albacete,20,Carcelén,487,257,230
2,Albacete,21,Casas de Juan NŻżez,1361,730,631
2,Albacete,22,Casas de LĀzaro,311,180,131
2,Albacete,23,Casas de Ves,548,290,258
2,Albacete,24,Casas-IbĀżez,4591,2328,2263
2,Albacete,25,Caudete,10249,5246,5003
2,Albacete,26,Cenizate,1160,587,573
2,Albacete,27,Corral-Rubio,302,161,141
2,Albacete,28,Cotillas,126,72,54
2,Albacete,29,Chinchilla de Monte-Aragón,4626,2395,2231
2,Albacete,30,Elche de la Sierra,3596,1762,1834
2,Albacete,31,Férez,605,298,307
2,Albacete,32,Fuensanta,287,154,133
2,Albacete,33,Fuente-Ąlamo,2417,1273,1144
2,Albacete,34,Fuentealbilla,1799,941,858
2,Albacete,35,"Gineta, La",2635,1357,1278
2,Albacete,36,Golosalvo,85,44,41
2,Albacete,37,HellĪn,30812,15493,15319
2,Albacete,38,"Herrera, La",303,161,142
2,Albacete,39,Higueruela,1142,600,542
2,Albacete,40,Hoya-Gonzalo,593,319,274
2,Albacete,41,Jorquera,358,194,164
2,Albacete,42,Letur,922,466,456
2,Albacete,43,Lezuza,1305,688,617
2,Albacete,44,Liétor,1063,552,511
2,Albacete,45,Madrigueras,4658,2365,2293
2,Albacete,46,Mahora,1465,762,703
2,Albacete,47,Masegoso,116,68,48
2,Albacete,48,Minaya,1387,694,693
2,Albacete,49,Molinicos,785,403,382
2,Albacete,50,Montalvos,81,48,33
2,Albacete,51,Montealegre del Castillo,2038,1059,979
2,Albacete,52,Motilleja,668,364,304
2,Albacete,53,Munera,3395,1756,1639
2,Albacete,54,Navas de Jorquera,533,282,251
2,Albacete,55,Nerpio,1150,652,498
2,Albacete,56,Ontur,1890,942,948
2,Albacete,57,Ossa de Montiel,2216,1127,1089
2,Albacete,58,Paterna del Madera,339,190,149
2,Albacete,59,Peżascosa,328,187,141
2,Albacete,60,Peżas de San Pedro,1466,867,599
2,Albacete,61,Pétrola,665,354,311
2,Albacete,62,Povedilla,392,210,182
2,Albacete,63,Pozohondo,1553,818,735
2,Albacete,64,Pozo-Lorente,386,201,185
2,Albacete,65,Pozuelo,467,256,211
2,Albacete,66,"Recueja, La",221,121,100
2,Albacete,67,Riópar,1353,686,667
2,Albacete,68,Robledo,393,219,174
2,Albacete,69,"Roda, La",15610,7852,7758
2,Albacete,70,Salobre,442,237,205
2,Albacete,71,San Pedro,1185,607,578
2,Albacete,72,Socovos,1662,871,791
2,Albacete,73,Tarazona de la Mancha,6117,3144,2973
2,Albacete,74,Tobarra,7947,4128,3819
2,Albacete,75,Valdeganga,1961,1008,953
2,Albacete,76,Vianos,320,165,155
2,Albacete,77,Villa de Ves,55,32,23
2,Albacete,78,Villalgordo del JŻcar,1128,592,536
2,Albacete,79,Villamalea,3973,2041,1932
2,Albacete,80,Villapalacios,562,295,267
2,Albacete,81,Villarrobledo,25262,12489,12773
2,Albacete,82,Villatoya,113,67,46
2,Albacete,83,Villavaliente,201,122,79
2,Albacete,84,Villaverde de Guadalimar,310,167,143
2,Albacete,85,Viveros,305,159,146
2,Albacete,86,Yeste,2509,1310,1199
2,Albacete,901,Pozo Cażada,2692,1371,1321
3,Alicante/Alacant,1,"AtzŻbia, l'",594,314,280
3,Alicante/Alacant,2,Agost,5107,2586,2521
3,Alicante/Alacant,3,Agres,610,327,283
3,Alicante/Alacant,4,Aigües,1189,598,591
3,Alicante/Alacant,5,Albatera,13296,6785,6511
3,Alicante/Alacant,6,AlcalalĪ,1406,690,716
3,Alicante/Alacant,7,Alcosser,259,129,130
3,Alicante/Alacant,8,Alcoleja,186,100,86
3,Alicante/Alacant,9,Alcoi/Alcoy,60372,29529,30843
3,Alicante/Alacant,10,Alfafara,413,194,219
3,Alicante/Alacant,11,"Alfģs del Pi, l'",20160,9890,10270
3,Alicante/Alacant,12,Algorfa,3684,1848,1836
3,Alicante/Alacant,13,Algueża,1342,684,658
3,Alicante/Alacant,14,Alacant/Alicante,358720,173006,185714
3,Alicante/Alacant,15,AlmoradĪ,22464,11331,11133
3,Alicante/Alacant,16,Almudaina,118,57,61
3,Alicante/Alacant,17,"Alqueria d'Asnar, l'",519,254,265
3,Alicante/Alacant,18,Altea,23963,11693,12270
3,Alicante/Alacant,19,Aspe,21969,11046,10923
3,Alicante/Alacant,20,Balones,131,66,65
3,Alicante/Alacant,21,Banyeres de Mariola,7307,3724,3583
3,Alicante/Alacant,22,Benasau,171,81,90
3,Alicante/Alacant,23,Beneixama,1679,831,848
3,Alicante/Alacant,24,BenejŻzar,5697,2842,2855
3,Alicante/Alacant,25,Benferri,2053,1049,1004
3,Alicante/Alacant,26,Beniarbeig,2384,1195,1189
3,Alicante/Alacant,27,Beniardģ,235,119,116
3,Alicante/Alacant,28,Beniarrés,1096,564,532
3,Alicante/Alacant,29,Benigembla,559,276,283
3,Alicante/Alacant,30,Benidoleig,1219,611,608
3,Alicante/Alacant,31,Benidorm,74663,37089,37574
3,Alicante/Alacant,32,Benifallim,116,64,52
3,Alicante/Alacant,33,Benifato,144,81,63
3,Alicante/Alacant,34,Benijófar,3471,1698,1773
3,Alicante/Alacant,35,Benilloba,747,397,350
3,Alicante/Alacant,36,Benillup,109,58,51
3,Alicante/Alacant,37,Benimantell,548,276,272
3,Alicante/Alacant,38,Benimarfull,447,237,210
3,Alicante/Alacant,39,Benimassot,96,52,44
3,Alicante/Alacant,40,Benimeli,453,202,251
3,Alicante/Alacant,41,Benissa,12317,6072,6245
3,Alicante/Alacant,42,"Poble Nou de Benitatxell, el/Benitachell",4851,2408,2443
3,Alicante/Alacant,43,Biar,3634,1777,1857
3,Alicante/Alacant,44,Bigastro,7431,3743,3688
3,Alicante/Alacant,45,Bolulla,486,250,236
3,Alicante/Alacant,46,Busot,3629,1807,1822
3,Alicante/Alacant,47,Calp,26821,13239,13582
3,Alicante/Alacant,48,Callosa d'en Sarriģ,7959,4140,3819
3,Alicante/Alacant,49,Callosa de Segura,19658,10055,9603
3,Alicante/Alacant,50,"Campello, el",30600,14849,15751
