Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
España;16200265;2.46;16686273;463
44001 Ababuj;31;2.78;32;579
50001 Abanto;66;2.88;68;307
44002 Abejuela;21;2.85;22;261
22001 Abiego;107;2.71;110;463
22002 Abizanda;53;2.62;55;720
50002 Acered;116;2.44;119;725
22003 Adahuesca;59;2.68;61;512
50003 Agón;80;2.48;82;619
50004 Aguarón;236;3.04;243;334
44003 Aguatón;10;2.67;10;318
44004 Aguaviva;262;2.37;270;296
22004 Agüero;55;2.88;57;197
44005 Aguilar del Alfambra;29;2.88;30;564
50005 Aguilón;84;3.18;87;468
22907 Aínsa-Sobrarbe;541;2.88;557;239
50006 Ainzón;466;2.65;480;219
22006 Aisa;117;3.1;121;653
44006 Alacón;165;2.84;170;746
50007 Aladrén;25;2.37;26;571
50008 Alagón;1934;2.87;1992;405
50009 Alarba;49;3.25;50;725
44007 Alba;106;2.7;109;745
22007 Albalate de Cinca;418;2.61;431;312
44008 Albalate del Arzobispo;971;2.45;1000;745
22008 Albalatillo;110;2.46;113;332
44009 Albarracín;380;2.74;391;322
22009 Albelda;332;2.9;342;769
44010 Albentosa;113;2.4;116;341
50010 Alberite de San Juan;32;3.26;33;260
22011 Albero Alto;32;3.09;33;553
22012 Albero Bajo;41;2.89;42;334
22013 Alberuela de Tubo;123;3.15;127;713
50011 Albeta;51;2.37;53;218
50012 Alborge;49;2.77;50;667
44011 Alcaine;19;2.98;20;481
50013 Alcalá de Ebro;95;3.14;98;680
22014 Alcalá de Gurrea;111;3.08;114;306
44012 Alcalá de la Selva;175;2.59;180;603
50014 Alcalá de Moncayo;47;3.23;48;274
22015 Alcalá del Obispo;145;2.44;149;433
22016 Alcampell;299;3.18;308;277
44013 Alcañiz;3921;3.27;4039;389
22017 Alcolea de Cinca;497;2.49;512;443
50015 Alconchel de Ariza;57;2.99;59;619
44014 Alcorisa;1403;2.35;1445;538
22018 Alcubierre;172;2.71;177;650
50016 Aldehuela de Liestos;21;2.86;22;459
22019 Alerre;63;2.89;65;485
50017 Alfajarín;452;3.23;466;302
44016 Alfambra;229;2.98;236;396
